 (Nc) 308 genes had no ortholog 66 K27 marked, 242 NOT K27 marked

The breakdown of genes as K27 marks in:
Nc	Nd	Nt	GENE COUNT
no	NONE	NONE	242
no	NONE	no	413
no	NONE	no-yes	1
no	NONE	yes	5
no	no	NONE	123
no	no	no	7927
no	no	no-yes	1
no	no	yes	11
no	no-yes	no	19
no	no-yes	yes	1
no	yes	NONE	8
no	yes	no	186
no	yes	no-yes	2
no	yes	yes	21
yes	1
yes	NONE	NONE	66
yes	NONE	no	32
yes	NONE	no-yes	1
yes	NONE	yes	78
yes	no	NONE	8
yes	no	no	85
yes	no	no-yes	2
yes	no	yes	44
yes	no-yes	NONE	3
yes	no-yes	no	9
yes	no-yes	no-yes	6
yes	no-yes	yes	8
yes	yes	NONE	25
yes	yes	no	136
yes	yes	no-yes	11
yes	yes	yes	258
