#OLD_LOCUS,NEW_LOCUS,UPDATE_TYPE,UPDATE_DETAIL
NCU00003.4,NCU00003.5,UNCHANGED,
NCU00004.4,NCU00004.5,UNCHANGED,
NCU00005.4,NCU00005.5,UNCHANGED,
NCU00006.4,NCU00006.5,UNCHANGED,
NCU00007.4,NCU00007.5,UNCHANGED,
NCU00008.4,NCU00008.5,UNCHANGED,
NCU00009.4,NCU00009.5,UNCHANGED,
NCU00010.4,NCU00010.5,UNCHANGED,
NCU00011.4,NCU00011.5,UNCHANGED,
NCU00013.4,NCU00013.5,UNCHANGED,
NCU00014.4,NCU00014.5,UNCHANGED,
NCU00015.4,NCU00015.5,UNCHANGED,
NCU00017.4,NCU00017.5,UNCHANGED,
NCU00018.4,NCU00018.5,UNCHANGED,
NCU00019.4,NCU00019.5,UNCHANGED,
NCU00021.4,NCU00021.5,UNCHANGED,
NCU00022.4,NCU00022.5,UNCHANGED,
NCU00023.4,NCU00023.5,UNCHANGED,
NCU00024.4,NCU00024.5,UNCHANGED,
NCU00025.4,NCU00025.5,UNCHANGED,
NCU00026.4,NCU00026.5,UNCHANGED,
NCU00027.4,NCU00027.5,UNCHANGED,
NCU00028.4,NCU00028.5,UNCHANGED,
NCU00029.4,NCU00029.5,UNCHANGED,
NCU00030.4,NCU00030.5,UNCHANGED,
NCU00031.4,NCU00031.5,UNCHANGED,
NCU00032.4,NCU00032.5,UNCHANGED,
NCU00034.4,NCU00034.5,UNCHANGED,
NCU00035.4,NCU00035.5,UNCHANGED,
NCU00037.4,NCU00037.5,UNCHANGED,
NCU00038.4,NCU00038.5,UNCHANGED,
NCU00039.4,NCU00039.5,UNCHANGED,
NCU00040.4,NCU00040.5,UNCHANGED,
NCU00041.4,NCU00041.5,UNCHANGED,
NCU00042.4,NCU00042.5,UNCHANGED,
NCU00043.4,NCU00043.5,UNCHANGED,
NCU00045.4,NCU00045.5,UNCHANGED,
NCU00046.4,NCU00046.5,UNCHANGED,
NCU00047.4,NCU00047.5,UNCHANGED,
NCU00048.4,NCU00048.5,UNCHANGED,
NCU00050.4,NCU00050.5,UNCHANGED,
NCU00051.4,NCU00051.5,UNCHANGED,
NCU00052.4,NCU00052.5,UNCHANGED,
NCU00054.4,NCU00054.5,UNCHANGED,
NCU00055.4,NCU00055.5,UNCHANGED,
NCU00056.4,NCU00056.5,UNCHANGED,
NCU00057.4,NCU00057.5,UNCHANGED,
NCU00059.4,NCU00059.5,UNCHANGED,
NCU00060.4,NCU00060.5,UNCHANGED,
NCU00061.4,NCU00061.5,UNCHANGED,
NCU00064.4,NCU00064.5,UNCHANGED,
NCU00065.4,NCU00065.5,UNCHANGED,
NCU00066.4,NCU00066.5,UNCHANGED,
NCU00067.4,NCU00067.5,UNCHANGED,
NCU00068.4,NCU00068.5,UNCHANGED,
NCU00069.4,NCU00069.5,UNCHANGED,
NCU00070.4,NCU00070.5,UNCHANGED,
NCU00071.4,NCU00071.5,UNCHANGED,
NCU00072.4,NCU00072.5,UNCHANGED,
NCU00073.4,NCU00073.5,UNCHANGED,
NCU00074.4,NCU00074.5,UNCHANGED,
NCU00075.4,NCU00075.5,UNCHANGED,
NCU00076.4,NCU00076.5,UNCHANGED,
NCU00077.4,NCU00077.5,UNCHANGED,
NCU00078.4,NCU00078.5,UNCHANGED,
NCU00079.4,NCU00079.5,UNCHANGED,
NCU00080.4,NCU00080.5,UNCHANGED,
NCU00081.4,NCU00081.5,UNCHANGED,
NCU00082.4,NCU00082.5,UNCHANGED,
NCU00083.4,NCU00083.5,UNCHANGED,
NCU00084.4,NCU00084.5,UNCHANGED,
NCU00085.4,NCU00085.5,UNCHANGED,
NCU00086.4,NCU00086.5,UNCHANGED,
NCU00087.4,NCU00087.5,UNCHANGED,
NCU00088.4,NCU00088.5,UNCHANGED,
NCU00089.4,NCU00089.5,UNCHANGED,
NCU00090.4,NCU00090.5,UNCHANGED,
NCU00091.4,NCU00091.5,UNCHANGED,
NCU00092.4,NCU00092.5,UNCHANGED,
NCU00093.4,NCU00093.5,UNCHANGED,
NCU00095.4,NCU00095.5,UNCHANGED,
NCU00096.4,NCU00096.5,UNCHANGED,
NCU00097.4,NCU00097.5,UNCHANGED,
NCU00099.4,NCU00099.5,UNCHANGED,
NCU00100.4,NCU00100.5,UNCHANGED,
NCU00101.4,NCU00101.5,UNCHANGED,
NCU00102.4,NCU00102.5,UNCHANGED,
NCU00103.4,NCU00103.5,UNCHANGED,
NCU00104.4,NCU00104.5,UNCHANGED,
NCU00105.4,NCU00105.5,UNCHANGED,
NCU00106.4,NCU00106.5,UNCHANGED,
NCU00107.4,NCU00107.5,UNCHANGED,
NCU00108.4,NCU00108.5,UNCHANGED,
NCU00109.4,NCU00109.5,UNCHANGED,
NCU00110.4,NCU00110.5,UNCHANGED,
NCU00111.4,NCU00111.5,UNCHANGED,
NCU00112.4,NCU00112.5,UNCHANGED,
NCU00114.4,NCU00114.5,UNCHANGED,
NCU00115.4,NCU00115.5,UNCHANGED,
NCU00116.4,NCU00116.5,UNCHANGED,
NCU00117.4,NCU00117.5,UNCHANGED,
NCU00118.4,NCU00118.5,UNCHANGED,
NCU00119.4,NCU00119.5,UNCHANGED,
NCU00120.4,NCU00120.5,UNCHANGED,
NCU00121.4,NCU00121.5,UNCHANGED,
NCU00122.4,NCU00122.5,UNCHANGED,
NCU00123.4,NCU00123.5,UNCHANGED,
NCU00124.4,NCU00124.5,UNCHANGED,
NCU00125.4,NCU00125.5,UNCHANGED,
NCU00126.4,NCU00126.5,UNCHANGED,
NCU00127.4,NCU00127.5,UNCHANGED,
NCU00128.4,NCU00128.5,UNCHANGED,
NCU00130.4,NCU00130.5,UNCHANGED,
NCU00132.4,NCU00132.5,UNCHANGED,
NCU00135.4,NCU00135.5,UNCHANGED,
NCU00138.4,NCU00138.5,UNCHANGED,
NCU00142.4,NCU00142.5,UNCHANGED,
NCU00143.4,NCU00143.5,UNCHANGED,
NCU00144.4,NCU00144.5,UNCHANGED,
NCU00145.4,NCU00145.5,UNCHANGED,
NCU00146.4,NCU00146.5,UNCHANGED,
NCU00147.4,NCU00147.5,UNCHANGED,
NCU00148.4,NCU00148.5,UNCHANGED,
NCU00149.4,NCU00149.5,UNCHANGED,
NCU00150.4,NCU00150.5,UNCHANGED,
NCU00151.4,NCU00151.5,UNCHANGED,
NCU00152.4,NCU00152.5,UNCHANGED,
NCU00153.4,NCU00153.5,UNCHANGED,
NCU00154.4,NCU00154.5,UNCHANGED,
NCU00155.4,NCU00155.5,UNCHANGED,
NCU00157.4,NCU00157.5,UNCHANGED,
NCU00158.4,NCU00158.5,UNCHANGED,
NCU00159.4,NCU00159.5,UNCHANGED,
NCU00160.4,NCU00160.5,UNCHANGED,
NCU00161.4,NCU00161.5,UNCHANGED,
NCU00162.4,NCU00162.5,UNCHANGED,
NCU00163.4,NCU00163.5,UNCHANGED,
NCU00164.4,NCU00164.5,UNCHANGED,
NCU00166.4,NCU00166.5,UNCHANGED,
NCU00167.4,NCU00167.5,UNCHANGED,
NCU00168.4,NCU00168.5,UNCHANGED,
NCU00169.4,NCU00169.5,UNCHANGED,
NCU00170.4,NCU00170.5,UNCHANGED,
NCU00171.4,NCU00171.5,UNCHANGED,
NCU00172.4,NCU00172.5,UNCHANGED,
NCU00173.4,NCU00173.5,UNCHANGED,
NCU00175.4,NCU00175.5,UNCHANGED,
NCU00176.4,NCU00176.5,UNCHANGED,
NCU00177.4,NCU00177.5,UNCHANGED,
NCU00178.4,NCU00178.5,UNCHANGED,
NCU00179.4,NCU00179.5,UNCHANGED,
NCU00180.4,NCU00180.5,UNCHANGED,
NCU00181.4,NCU00181.5,UNCHANGED,
NCU00182.4,NCU00182.5,UNCHANGED,
NCU00183.4,NCU00183.5,UNCHANGED,
NCU00184.4,NCU00184.5,UNCHANGED,
NCU00185.4,NCU00185.5,UNCHANGED,
NCU00186.4,NCU00186.5,UNCHANGED,
NCU00187.4,NCU00187.5,UNCHANGED,
NCU00188.4,NCU00188.5,UNCHANGED,
NCU00189.4,NCU00189.5,UNCHANGED,
NCU00192.4,NCU00192.5,UNCHANGED,
NCU00193.4,NCU00193.5,UNCHANGED,
NCU00194.4,NCU00194.5,UNCHANGED,
NCU00195.4,NCU00195.5,UNCHANGED,
NCU00196.4,NCU00196.5,UNCHANGED,
NCU00197.4,NCU00197.5,UNCHANGED,
NCU00198.4,NCU00198.5,UNCHANGED,
NCU00199.4,NCU00199.5,UNCHANGED,
NCU00200.4,NCU00200.5,UNCHANGED,
NCU00201.4,NCU00201.5,UNCHANGED,
NCU00202.4,NCU00202.5,UNCHANGED,
NCU00203.4,NCU00203.5,UNCHANGED,
NCU00204.4,NCU00204.5,UNCHANGED,
NCU00205.4,NCU00205.5,UNCHANGED,
NCU00206.4,NCU00206.5,UNCHANGED,
NCU00207.4,NCU00207.5,UNCHANGED,
NCU00208.4,NCU00208.5,UNCHANGED,
NCU00209.4,NCU00209.5,UNCHANGED,
NCU00210.4,NCU00210.5,UNCHANGED,
NCU00211.4,NCU00211.5,UNCHANGED,
NCU00212.4,NCU00212.5,UNCHANGED,
NCU00213.4,NCU00213.5,UNCHANGED,
NCU00214.4,NCU00214.5,UNCHANGED,
NCU00215.4,NCU00215.5,UNCHANGED,
NCU00216.4,NCU00216.5,UNCHANGED,
NCU00218.4,NCU00218.5,UNCHANGED,
NCU00219.4,NCU00219.5,UNCHANGED,
NCU00220.4,NCU00220.5,UNCHANGED,
NCU00223.4,NCU00223.5,UNCHANGED,
NCU00224.4,NCU00224.5,UNCHANGED,
NCU00225.4,NCU00225.5,UNCHANGED,
NCU00226.4,NCU00226.5,UNCHANGED,
NCU00227.4,NCU00227.5,UNCHANGED,
NCU00229.4,NCU00229.5,UNCHANGED,
NCU00230.4,NCU00230.5,UNCHANGED,
NCU00231.4,NCU00231.5,UNCHANGED,
NCU00232.4,NCU00232.5,UNCHANGED,
NCU00233.4,NCU00233.5,UNCHANGED,
NCU00234.4,NCU00234.5,UNCHANGED,
NCU00236.4,NCU00236.5,UNCHANGED,
NCU00237.4,NCU00237.5,UNCHANGED,
