MRNA_FROM	K27_MARKED_FROM	K27_VAL_FROM	SPECIES_TO	MRNA_TO
NCU07633T0	yes	supercont10.4	Nd	Nd|NEUDI1_20059	no
NCU07633T0	yes	supercont10.4	Nd	Nd|NEUDI1_104803	no
NCU05099T0	yes	supercont10.6	Nd	Nd|NEUDI1_128782	yes
NCU11714T0	yes	supercont10.4	Nd	Nd|NEUDI1_124820	no
NCU08533T0	yes	supercont10.3	Nd	Nd|NEUDI1_105578	no
NCU08102T0	yes	supercont10.1	Nd	Nd|NEUDI1_53547	yes
NCU11834T0	yes	supercont10.3	Nd	Nd|NEUDI1_155524	no
NCU05912T0	yes	supercont10.6	Nd	Nd|NEUDI1_142136	yes
NCU07621T0	yes	supercont10.4	Nd	Nd|NEUDI1_158624	no
NCU07226T0	yes	supercont10.5	Nd	Nd|NEUDI1_18411	yes
NCU09909T0	yes	supercont10.1	Nd	Nd|NEUDI1_153037	yes
NCU05157T0	yes	supercont10.6	Nd	Nd|NEUDI1_19657	yes
NCU08204T0	yes	supercont10.3	Nd	Nd|NEUDI1_110306	yes
NCU08916T0	yes	supercont10.5	Nd	Nd|NEUDI1_17207	yes
NCU05175T0	yes	supercont10.4	Nd	Nd|NEUDI1_66234	yes
NCU10129T0	yes	supercont10.1	Nd	Nd|NEUDI1_72690	yes
NCU05906T0	yes	supercont10.6	Nd	Nd|NEUDI1_169160	yes
NCU09837T0	yes	supercont10.5	Nd	Nd|NEUDI1_106724	no
NCU09837T0	yes	supercont10.5	Nd	Nd|NEUDI1_17196	no
NCU04713T0	yes	supercont10.6	Nd	Nd|NEUDI1_97823	no
NCU05108T0	yes	supercont10.6	Nd	Nd|NEUDI1_113939	yes
NCU09948T0	yes	supercont10.5	Nd	Nd|NEUDI1_136188	yes
NCU11825T0	yes	supercont10.4	Nd	Nd|NEUDI1_110803	no
NCU05059T0	yes	supercont10.6	Nd	Nd|NEUDI1_113907	yes
NCU08210T0	yes	supercont10.3	Nd	Nd|NEUDI1_23771	yes
NCU05897T0	yes	supercont10.7	Nd	Nd|NEUDI1_82697	yes
NCU05186T0	yes	supercont10.4	Nd	Nd|NEUDI1_128496	yes
NCU06886T0	yes	supercont10.7	Nd	Nd|NEUDI1_140567	yes
NCU09964T0	yes	supercont10.5	Nd	Nd|NEUDI1_72510	yes
NCU05100T0	yes	supercont10.6	Nd	Nd|NEUDI1_34525	yes
NCU07596T0	yes	supercont10.4	Nd	Nd|NEUDI1_67901	yes
NCU09165T0	yes	supercont10.3	Nd	Nd|NEUDI1_114737	yes
NCU08637T0	yes	supercont10.1	Nd	Nd|NEUDI1_56487	yes
NCU11689T0	yes	supercont10.5	Nd	Nd|NEUDI1_114446	yes
NCU07649T0	yes	supercont10.4	Nd	Nd|NEUDI1_104839	no
NCU08833T0	yes	supercont10.4	Nd	Nd|NEUDI1_66503	no
NCU07088T0	yes	supercont10.6	Nd	Nd|NEUDI1_126310	yes
NCU11897T0	yes	supercont10.3	Nd	Nd|NEUDI1_105990	no
NCU09641T0	yes	supercont10.4	Nd	Nd|NEUDI1_19995	yes
NCU07110T0	yes	supercont10.6	Nd	Nd|NEUDI1_79359	yes
NCU09182T0	yes	supercont10.3	Nd	Nd|NEUDI1_158873	yes
NCU08248T0	yes	supercont10.3	Nd	Nd|NEUDI1_110273	yes
NCU09908T0	yes	supercont10.1	Nd	Nd|NEUDI1_136297	yes
NCU09189T0	yes	supercont10.3	Nd	Nd|NEUDI1_169511	yes
NCU09189T0	yes	supercont10.3	Nd	Nd|NEUDI1_16559	yes
NCU09632T0	yes	supercont10.2	Nd	Nd|NEUDI1_87763	yes
NCU02865T0	yes	supercont10.1	Nd	Nd|NEUDI1_23057	yes
NCU11129T0	yes	supercont10.4	Nd	Nd|NEUDI1_158664	yes
NCU06905T0	yes	supercont10.7	Nd	Nd|NEUDI1_100635	no
NCU08532T0	yes	supercont10.3	Nd	Nd|NEUDI1_129437	no
NCU05071T0	yes	supercont10.6	Nd	Nd|NEUDI1_142073	yes
NCU07090T0	yes	supercont10.6	Nd	Nd|NEUDI1_139289	yes
NCU05155T0	yes	supercont10.6	Nd	Nd|NEUDI1_19655	yes
NCU10055T0	yes	supercont10.7	Nd	Nd|NEUDI1_167825	no
NCU07231T0	yes	supercont10.5	Nd	Nd|NEUDI1_72521	no
NCU08212T0	yes	supercont10.3	Nd	Nd|NEUDI1_44229	yes
NCU04891T0	yes	supercont10.4	Nd	Nd|NEUDI1_114423	yes
NCU07637T0	yes	supercont10.4	Nd	Nd|NEUDI1_114368	yes
NCU04859T0	yes	supercont10.4	Nd	Nd|NEUDI1_129135	no
NCU08113T0	yes	supercont10.1	Nd	Nd|NEUDI1_107945	yes
NCU07089T0	yes	supercont10.6	Nd	Nd|NEUDI1_24546	yes
NCU09168T0	yes	supercont10.3	Nd	Nd|NEUDI1_158874	yes
NCU07631T0	yes	supercont10.4	Nd	Nd|NEUDI1_67559	yes
NCU07210T0	yes	supercont10.5	Nd	Nd|NEUDI1_18421	yes
NCU08264T0	yes	supercont10.3	Nd	Nd|NEUDI1_58642	yes
NCU05081T0	yes	supercont10.6	Nd	Nd|NEUDI1_128775	yes
NCU05105T0	yes	supercont10.6	Nd	Nd|NEUDI1_85574	yes
NCU10501T0	yes	supercont10.1	Nd	Nd|NEUDI1_53051	yes
NCU09520T0	yes	supercont10.3	Nd	Nd|NEUDI1_129772	yes
NCU08257T0	yes	supercont10.3	Nd	Nd|NEUDI1_23730	yes
NCU07104T0	yes	supercont10.6	Nd	Nd|NEUDI1_139298	no
NCU06885T0	yes	supercont10.7	Nd	Nd|NEUDI1_112337	yes
NCU12105T0	yes	supercont10.6	Nd	Nd|NEUDI1_167340	no
NCU12105T0	yes	supercont10.6	Nd	Nd|NEUDI1_126594	no
NCU08765T0	yes	supercont10.3	Nd	Nd|NEUDI1_169528	yes
NCU04860T0	yes	supercont10.4	Nd	Nd|NEUDI1_16254	yes
NCU04860T0	yes	supercont10.4	Nd	Nd|NEUDI1_16253	yes
NCU04871T0	yes	supercont10.4	Nd	Nd|NEUDI1_16261	no
NCU05470T0	yes	supercont10.2	Nd	Nd|NEUDI1_113498	no
NCU09639T0	yes	supercont10.4	Nd	Nd|NEUDI1_86294	yes
NCU11686T0	yes	supercont10.5	Nd	Nd|NEUDI1_129159	no
NCU07234T0	yes	supercont10.5	Nd	Nd|NEUDI1_9777	yes
NCU05095T0	yes	supercont10.6	Nd	Nd|NEUDI1_158291	yes
NCU10502T0	yes	supercont10.4	Nd	Nd|NEUDI1_114409	yes
NCU07235T0	yes	supercont10.5	Nd	Nd|NEUDI1_18401	yes
NCU11706T0	yes	supercont10.4	Nd	Nd|NEUDI1_94092	no
NCU12085T0	yes	supercont10.7	Nd	Nd|NEUDI1_155847	no
NCU07105T0	yes	supercont10.6	Nd	Nd|NEUDI1_139299	no
NCU08213T0	yes	supercont10.3	Nd	Nd|NEUDI1_59488	yes
NCU07630T0	yes	supercont10.4	Nd	Nd|NEUDI1_20057	yes
NCU07077T0	yes	supercont10.6	Nd	Nd|NEUDI1_24565	no
NCU07077T0	yes	supercont10.6	Nd	Nd|NEUDI1_12931	no
NCU11700T0	yes	supercont10.4	Nd	Nd|NEUDI1_124962	no
NCU11363T0	yes	supercont10.4	Nd	Nd|NEUDI1_48034	yes
NCU10027T0	yes	supercont10.1	Nd	Nd|NEUDI1_154462	yes
NCU05110T0	yes	supercont10.6	Nd	Nd|NEUDI1_128782	yes
NCU05074T0	yes	supercont10.6	Nd	Nd|NEUDI1_15799	no
NCU11087T0	yes	supercont10.5	Nd	Nd|NEUDI1_51690	yes
NCU08630T0	yes	supercont10.1	Nd	Nd|NEUDI1_57024	yes
NCU11705T0	yes	supercont10.4	Nd	Nd|NEUDI1_75746	no
NCU07139T0	yes	supercont10.6	Nd	Nd|NEUDI1_69617	yes
NCU05158T0	yes	supercont10.6	Nd	Nd|NEUDI1_19659	yes
NCU08099T0	yes	supercont10.1	Nd	Nd|NEUDI1_9910	yes
NCU08089T0	yes	supercont10.1	Nd	Nd|NEUDI1_20782	yes
NCU09638T0	yes	supercont10.4	Nd	Nd|NEUDI1_104681	yes
NCU08907T0	yes	supercont10.5	Nd	Nd|NEUDI1_164655	yes
NCU07510T0	yes	supercont10.3	Nd	Nd|NEUDI1_44728	no
NCU05089T0	yes	supercont10.6	Nd	Nd|NEUDI1_128776	yes
NCU09169T0	yes	supercont10.3	Nd	Nd|NEUDI1_158874	yes
NCU07115T0	yes	supercont10.6	Nd	Nd|NEUDI1_155751	no
NCU07207T0	yes	supercont10.5	Nd	Nd|NEUDI1_18418	yes
NCU08641T0	yes	supercont10.1	Nd	Nd|NEUDI1_22867	yes
NCU09640T0	yes	supercont10.4	Nd	Nd|NEUDI1_104688	yes
NCU09949T0	yes	supercont10.5	Nd	Nd|NEUDI1_18369	yes
NCU08074T0	yes	supercont10.1	Nd	Nd|NEUDI1_20725	yes
NCU06903T0	yes	supercont10.7	Nd	Nd|NEUDI1_112354	yes
NCU09525T0	yes	supercont10.3	Nd	Nd|NEUDI1_164563	no
NCU04709T0	yes	supercont10.6	Nd	Nd|NEUDI1_111062	no
NCU08076T0	yes	supercont10.1	Nd	Nd|NEUDI1_90961	yes
NCU09839T0	yes	supercont10.5	Nd	Nd|NEUDI1_164647	no
NCU04921T0	yes	supercont10.4	Nd	Nd|NEUDI1_104948	yes
NCU06954T0	yes	supercont10.7	Nd	Nd|NEUDI1_26095	yes
NCU07130T0	yes	supercont10.6	Nd	Nd|NEUDI1_106482	yes
NCU07130T0	yes	supercont10.6	Nd	Nd|NEUDI1_88086	yes
NCU05172T0	yes	supercont10.4	Nd	Nd|NEUDI1_66234	yes
NCU05887T0	yes	supercont10.7	Nd	Nd|NEUDI1_101098	yes
NCU09965T0	yes	supercont10.5	Nd	Nd|NEUDI1_18387	yes
NCU04991T0	yes	supercont10.6	Nd	Nd|NEUDI1_113835	yes
NCU09456T0	yes	supercont10.7	Nd	Nd|NEUDI1_100259	no
NCU07218T0	yes	supercont10.5	Nd	Nd|NEUDI1_123600	yes
NCU05092T0	yes	supercont10.6	Nd	Nd|NEUDI1_113932	yes
NCU08917T0	yes	supercont10.5	Nd	Nd|NEUDI1_106731	yes
