MRNA_FROM	K27_MARKED_FROM	K27_VAL_FROM	SPECIES_TO	MRNA_TO
NCU07633T0	yes	supercont10.4	Nt	Nt|NEUTE1_98862	yes
NCU05099T0	yes	supercont10.6	Nt	Nt|NEUTE1_141106	yes
NCU11714T0	yes	supercont10.4	Nt	Nt|NEUTE1_60074	no
NCU09947T0	yes	supercont10.5	Nt	Nt|NEUTE1_35503	yes
NCU08533T0	yes	supercont10.3	Nt	Nt|NEUTE1_42033	yes
NCU08102T0	yes	supercont10.1	Nt	Nt|NEUTE1_23363	yes
NCU11834T0	yes	supercont10.3	Nt	Nt|NEUTE1_122164	no
NCU05912T0	yes	supercont10.6	Nt	Nt|NEUTE1_50435	no
NCU07621T0	yes	supercont10.4	Nt	Nt|NEUTE1_135699	no
NCU07226T0	yes	supercont10.5	Nt	Nt|NEUTE1_97324	yes
NCU09909T0	yes	supercont10.1	Nt	Nt|NEUTE1_88709	yes
NCU05157T0	yes	supercont10.6	Nt	Nt|NEUTE1_69695	no
NCU08204T0	yes	supercont10.3	Nt	Nt|NEUTE1_110460	yes
NCU06904T0	yes	supercont10.7	Nt	Nt|NEUTE1_102580	no
NCU08916T0	yes	supercont10.5	Nt	Nt|NEUTE1_108014	yes
NCU05175T0	yes	supercont10.4	Nt	Nt|NEUTE1_109461	yes
NCU10129T0	yes	supercont10.1	Nt	Nt|NEUTE1_132316	yes
NCU08265T0	yes	supercont10.3	Nt	Nt|NEUTE1_101239	yes
NCU05906T0	yes	supercont10.6	Nt	Nt|NEUTE1_118309	no
NCU07149T0	yes	supercont10.5	Nt	Nt|NEUTE1_143574	no
NCU08220T0	yes	supercont10.3	Nt	Nt|NEUTE1_101216	yes
NCU09837T0	yes	supercont10.5	Nt	Nt|NEUTE1_98656	yes
NCU04713T0	yes	supercont10.6	Nt	Nt|NEUTE1_131679	no
NCU05108T0	yes	supercont10.6	Nt	Nt|NEUTE1_113254	yes
NCU09948T0	yes	supercont10.5	Nt	Nt|NEUTE1_34486	yes
NCU11825T0	yes	supercont10.4	Nt	Nt|NEUTE1_62928	no
NCU11825T0	yes	supercont10.4	Nt	Nt|NEUTE1_129617	no
NCU05059T0	yes	supercont10.6	Nt	Nt|NEUTE1_50014	yes
NCU08210T0	yes	supercont10.3	Nt	Nt|NEUTE1_101209	yes
NCU05897T0	yes	supercont10.7	Nt	Nt|NEUTE1_68134	no
NCU05186T0	yes	supercont10.4	Nt	Nt|NEUTE1_100139	no
NCU06886T0	yes	supercont10.7	Nt	Nt|NEUTE1_102567	no
NCU09964T0	yes	supercont10.5	Nt	Nt|NEUTE1_74898	no
NCU05100T0	yes	supercont10.6	Nt	Nt|NEUTE1_104244	yes
NCU08100T0	yes	supercont10.1	Nt	Nt|NEUTE1_70117	yes
NCU05673T0	yes	supercont10.3	Nt	Nt|NEUTE1_137142	yes
NCU07596T0	yes	supercont10.4	Nt	Nt|NEUTE1_38422	no
NCU09165T0	yes	supercont10.3	Nt	Nt|NEUTE1_109527	yes
NCU08637T0	yes	supercont10.1	Nt	Nt|NEUTE1_151034	no
NCU07649T0	yes	supercont10.4	Nt	Nt|NEUTE1_77999	no
NCU08833T0	yes	supercont10.4	Nt	Nt|NEUTE1_99961	no
NCU07088T0	yes	supercont10.6	Nt	Nt|NEUTE1_86919	yes
NCU11897T0	yes	supercont10.3	Nt	Nt|NEUTE1_123310	no
NCU09641T0	yes	supercont10.4	Nt	Nt|NEUTE1_98790	no
NCU07110T0	yes	supercont10.6	Nt	Nt|NEUTE1_124331	yes
NCU09182T0	yes	supercont10.3	Nt	Nt|NEUTE1_145950	yes
NCU02866T0	yes	supercont10.1	Nt	Nt|NEUTE1_113887	no
NCU08248T0	yes	supercont10.3	Nt	Nt|NEUTE1_42884	yes
NCU07511T0	yes	supercont10.3	Nt	Nt|NEUTE1_101195	no
NCU09908T0	yes	supercont10.1	Nt	Nt|NEUTE1_113419	yes
NCU09189T0	yes	supercont10.3	Nt	Nt|NEUTE1_43016	yes
NCU09275T0	yes	supercont10.7	Nt	Nt|NEUTE1_139266	no
NCU09632T0	yes	supercont10.2	Nt	Nt|NEUTE1_84952	yes
NCU09966T0	yes	supercont10.5	Nt	Nt|NEUTE1_106794	yes
NCU02865T0	yes	supercont10.1	Nt	Nt|NEUTE1_104881	no
NCU11129T0	yes	supercont10.4	Nt	Nt|NEUTE1_59372	yes
NCU06905T0	yes	supercont10.7	Nt	Nt|NEUTE1_85223	no
NCU08532T0	yes	supercont10.3	Nt	Nt|NEUTE1_42402	yes
NCU05071T0	yes	supercont10.6	Nt	Nt|NEUTE1_113287	yes
NCU07090T0	yes	supercont10.6	Nt	Nt|NEUTE1_50142	yes
NCU05155T0	yes	supercont10.6	Nt	Nt|NEUTE1_141053	yes
NCU07231T0	yes	supercont10.5	Nt	Nt|NEUTE1_143615	yes
NCU08212T0	yes	supercont10.3	Nt	Nt|NEUTE1_41032	yes
NCU04891T0	yes	supercont10.4	Nt	Nt|NEUTE1_135779	no
NCU07637T0	yes	supercont10.4	Nt	Nt|NEUTE1_108220	yes
NCU04859T0	yes	supercont10.4	Nt	Nt|NEUTE1_144861	no
