GENE	LEN
NCU09858	465
NCU05063	345
NCU09518	502
NCU12112	114
NCU05902	1359
NCU08795	376
NCU09629	809
NCU07241	743
NCU09579	353
NCU08784	351
NCU04907	376
NCU10605	96
NCU11611	517
NCU08049	982
NCU04910	365
NCU07134	416
NCU04886	617
NCU05060	442
NCU08232	529
NCU11819	998
NCU05012	417
NCU12002	286
NCU09451	462
NCU12101	1270
NCU09523	216
NCU08073	517
NCU07119	5121
NCU05115	832
NCU04936	682
NCU05704	286
NCU07622	626
NCU08905	583
NCU08226	676
NCU04998	343
NCU11704	633
NCU07519	799
NCU06159	495
NCU07075	515
NCU09649	493
NCU09020	481
NCU08197	785
NCU07129	568
NCU02868	777
NCU11690	701
NCU05154	1152
NCU09338	448
NCU08429	384
NCU09151	486
NCU07620	620
NCU03513	482
NCU07132	387
NCU09506	306
NCU08801	259
NCU07480	443
NCU11817	538
NCU04935	765
NCU09910	847
NCU09162	1352
NCU05180	909
NCU08836	651
NCU09659	567
NCU08431	339
NCU04934	546
NCU07199	520
NCU08529	152
NCU09644	969
NCU05379	185
NCU05901	2077
NCU07246	833
NCU08921	1157
NCU07200	285
NCU04923	331
NCU06895	539
NCU09627	201
NCU05054	1997
NCU07582	768
NCU11293	88
NCU06906	829
NCU08190	383
NCU03494	723
NCU11889	323
NCU05064	785
NCU09492	2182
NCU08763	1150
NCU02858	2534
NCU12179	777
NCU09174	582
NCU08814	296
NCU05047	3082
NCU08629	509
NCU08884	214
NCU08760	330
NCU09606	133
NCU07125	1051
NCU09521	490
NCU04938	671
NCU07153	533
NCU05480	242
NCU09832	470
NCU09642	799
NCU05885	637
NCU08218	729
NCU04720	1176
NCU08909	542
NCU05647	292
NCU08535	2275
NCU08095	245
NCU08660	248
NCU04854	442
NCU08180	643
NCU05130	509
NCU11305	204
NCU09430	390
NCU12110	273
NCU08556	654
NCU07606	134
NCU03477	972
NCU08786	198
NCU08525	658
NCU05460	819
NCU05061	385
NCU08631	279
NCU09157	1312
NCU05667	219
NCU11405	1006
NCU06857	903
NCU07534	1402
NCU10056	135
NCU09030	1026
NCU05161	412
NCU09646	415
NCU06166	481
NCU07100	458
NCU08791	765
NCU07479	837
NCU10053	368
NCU11823	243
NCU07247	488
NCU07518	262
NCU11890	338
NCU05050	379
NCU10001	599
NCU08919	1997
NCU09620	172
NCU08599	620
NCU07055	462
NCU09992	547
NCU09594	551
NCU03499	120
NCU05895	968
NCU06884	2041
NCU02668	445
NCU10052	744
NCU04865	2578
NCU06427	127
NCU07813	470
NCU08550	287
NCU04551	115
NCU03685	2014
NCU04283	91
NCU04662	437
NCU11138	1778
NCU06560	484
NCU10397	1030
NCU02433	506
