Locus	Supercontig	Start	Stop	Strand	NaN	Gene Name	Ontology Term ID	Ontology Term Name	Protein Family
NCU03854	supercont10.6	2738801	2739731	+	27625	D-tyrosyl-tRNA(Tyr) deacylase			
NCU01044	supercont10.5	2750351	2753035	+	24236.8823529412	spray			
NCU08804	supercont10.4	5196155	5198165	-	21567.1851851852	iron-regulated transporter			
NCU11999	supercont10.7	117151	118102	-	20866.2941176471	hypothetical protein			
NCU11998	supercont10.7	116024	117014	-	20052.1176470588	hypothetical protein			
NCU11571	supercont10.1	8576665	8577812	-	13348.5263157895	hypothetical protein			
NCU06308	supercont10.4	2963756	2968355	+	10258.1320754717	DNA-directed RNA polymerase			
NCU01878	supercont10.1	2176997	2181105	+	6633.95918367347	vesicle-mediated transporter			
NCU01744	supercont10.2	2567185	2576077	-	5553.22916666667	glutamate synthase	"GO:0019676	GO:0006537	GO:0019676	GO:0006537	GO:0005739	GO:0006537	GO:0005739	GO:0006537	GO:0019676	GO:0005739	GO:0019676	GO:0005739"	"ammonia assimilation cycle	glutamate biosynthetic process	ammonia assimilation cycle	glutamate biosynthetic process	mitochondrion	glutamate biosynthetic process	mitochondrion	glutamate biosynthetic process	ammonia assimilation cycle	mitochondrion	ammonia assimilation cycle	mitochondrion"	
NCU04961	supercont10.4	866160	866800	-	4088.14285714286	hypothetical protein			
NCU09320	supercont10.1	4256269	4258424	+	3508.20689655172	ATP phosphoribosyltransferase	"GO:0003879	GO:0003879	GO:0000105	GO:0000105	GO:0003879	GO:0000105"	"ATP phosphoribosyltransferase activity	ATP phosphoribosyltransferase activity	histidine biosynthetic process	histidine biosynthetic process	ATP phosphoribosyltransferase activity	histidine biosynthetic process"	
NCU02197	supercont10.7	887426	888147	-	3030.85714285714	riboflavin aldehyde-forming enzyme			
NCU10396	supercont10.3	4882714	4883819	+	2955	hypothetical protein			
NCU08491	supercont10.2	3476838	3477441	-	2673.53846153846	hypothetical protein			
NCU08192	supercont10.3	4606355	4606862	+	2651.33333333333	hydrophobin			
NCU05014	supercont10.6	4070931	4072447	+	2635	thiamin pyrophosphokinase			
NCU07099	supercont10.6	171112	172314	-	2594.47368421053	hypothetical protein			
NCU04941	supercont10.4	808476	810571	+	2559.67857142857	hypothetical protein			
NCU05116	supercont10.6	3696667	3697739	+	2479.55555555556	phosphoglycerate mutase			
NCU08846	supercont10.4	5038300	5038954	+	2469.14285714286	hypothetical protein			
NCU01631	supercont10.2	2922034	2923098	-	2450	hypothetical protein			
NCU09717	supercont10.7	2883331	2884826	-	2425.59090909091	hypothetical protein			
NCU06853	supercont10.2	1750180	1752831	+	2419.05882352941	hypothetical protein			
NCU08005	supercont10.4	3890665	3892533	-	2407.30769230769	NADPH-adrenodoxin reductase Arh1			
NCU03040	supercont10.1	8348756	8350186	-	2403.2380952381	N-glycosylase/DNA lyase			
NCU04903	supercont10.4	680059	682218	+	2378.10344827586	tripeptidyl peptidase I			
NCU07164	supercont10.5	6378097	6379103	+	2371.11111111111	hypothetical protein			
NCU12087	supercont10.7	3954305	3954766	-	2336.72727272727	hypothetical protein			
NCU05189	supercont10.4	5810815	5812192	-	2295.3	hypothetical protein			
NCU11396	supercont10.7	3793740	3795056	+	2294.95	hypothetical protein			
NCU02194	supercont10.7	872044	874733	+	2292.11764705882	hypothetical protein			
NCU07323	supercont10.4	4368851	4369603	+	2291.6	hypothetical protein			
NCU05015	supercont10.6	4064967	4066174	+	2282.73684210526	hypothetical protein			
NCU07237	supercont10.5	6138742	6139556	+	2273.86666666667	hypothetical protein			
NCU05764	supercont10.7	513445	514617	+	2265.84210526316	hypothetical protein			
NCU07787	supercont10.5	303047	304089	+	2262.58823529412	clock controlled protein CCG-14			
NCU03469	supercont10.2	585153	586019	+	2251.25	hypothetical protein			
NCU08818	supercont10.4	5142229	5142904	-	2246.42857142857	hypothetical protein			
NCU09534	supercont10.5	4498780	4499857	-	2245.44444444444	peroxiredoxin HYR1	"GO:0009416	GO:0008379	GO:0047066	GO:0005622	GO:0008379	GO:0047066	GO:0006979	GO:0004602	GO:0005622	GO:0006979	GO:0009416	GO:0005622	GO:0047066	GO:0004602	GO:0004602	GO:0005622	GO:0006979	GO:0047066	GO:0005622	GO:0004602	GO:0008379	GO:0006979	GO:0004602	GO:0008379	GO:0047066	GO:0047066	GO:0009416	GO:0008379	GO:0009416	GO:0009416	GO:0006979	GO:0008379	GO:0005622	GO:0009416	GO:0006979	GO:0005622	GO:0004602	GO:0004602	GO:0006979	GO:0008379	GO:0047066	GO:0009416"	"response to light stimulus	thioredoxin peroxidase activity	phospholipid-hydroperoxide glutathione peroxidase activity	intracellular	thioredoxin peroxidase activity	phospholipid-hydroperoxide glutathione peroxidase activity	response to oxidative stress	glutathione peroxidase activity	intracellular	response to oxidative stress	response to light stimulus	intracellular	phospholipid-hydroperoxide glutathione peroxidase activity	glutathione peroxidase activity	glutathione peroxidase activity	intracellular	response to oxidative stress	phospholipid-hydroperoxide glutathione peroxidase activity	intracellular	glutathione peroxidase activity	thioredoxin peroxidase activity	response to oxidative stress	glutathione peroxidase activity	thioredoxin peroxidase activity	phospholipid-hydroperoxide glutathione peroxidase activity	phospholipid-hydroperoxide glutathione peroxidase activity	response to light stimulus	thioredoxin peroxidase activity	response to light stimulus	response to light stimulus	response to oxidative stress	thioredoxin peroxidase activity	intracellular	response to light stimulus	response to oxidative stress	intracellular	glutathione peroxidase activity	glutathione peroxidase activity	response to oxidative stress	thioredoxin peroxidase activity	phospholipid-hydroperoxide glutathione peroxidase activity	response to light stimulus"	
NCU05712	supercont10.3	599409	600669	-	2241.36842105263	hypothetical protein			
NCU07817	supercont10.3	973184	974249	+	2225.33333333333	non-anchored cell wall protein-3	"FAO:0000024	FAO:0000024	FAO:0000024	FAO:0001001	FAO:0001001	GO:0030446	FAO:0001001	GO:0030446	GO:0030446	FAO:0000024	FAO:0001001	GO:0030446"	"conidium	conidium	conidium	hypha	hypha	hyphal cell wall	hypha	hyphal cell wall	hyphal cell wall	conidium	hypha	hyphal cell wall"	
NCU02195	supercont10.7	874772	877052	-	2217.46666666667	high affinity methionine permease			
NCU04940	supercont10.4	806707	808105	+	2214	reticulon-4-interacting protein 1			
NCU09155	supercont10.3	178636	180396	+	2189.04166666667	hypothetical protein			
NCU09080	supercont10.1	791939	792235	-	2174.5	hypothetical protein			
NCU09416	supercont10.7	3064863	3066202	+	2174.38095238095	cellulose-binding GDSL lipase/acylhydrolase			
NCU11383	supercont10.7	593298	595349	-	2162.64285714286	hypothetical protein			
NCU08774	supercont10.3	5192331	5193337	-	2158.17647058824	hypothetical protein			
NCU08004	supercont10.4	3889317	3890783	+	2145.66666666667	electron transfer flavoprotein alpha-subunit			
NCU09406	supercont10.7	3034803	3037482	+	2121.0303030303	copper amine oxidase			
NCU11720	supercont10.4	1308268	1308971	-	2120.5	hypothetical protein			
NCU08555	supercont10.3	4942498	4944487	+	2106.92592592593	hypothetical protein			
NCU11486	supercont10.1	3129000	3129525	-	2100.61538461538	hypothetical protein			
NCU04959	supercont10.4	862292	863691	+	2091.80952380952	secreted glucosidase			
NCU09053	supercont10.7	3783955	3785149	-	2087.42105263158	hypothetical protein			
NCU04939	supercont10.4	804073	805675	-	2083.39130434783	hypothetical protein			
NCU09653	supercont10.4	75560	76237	-	2082	YhhN family protein			
NCU04962	supercont10.4	868195	869418	-	2080.55	hypothetical protein			
NCU05013	supercont10.6	4072544	4075524	-	2064.08108108108	hypothetical protein			
NCU05067	supercont10.6	3849554	3851053	-	2063.18181818182	golgi transport complex component Cog5			
NCU07122	supercont10.6	71725	72159	+	2059.90909090909	hypothetical protein			
NCU11290	supercont10.3	5162639	5163242	-	2058.30769230769	hypothetical protein			
NCU12066	supercont10.7	3068857	3070329	+	2040.54545454545	hypothetical protein			
NCU07585	supercont10.4	153644	154952	+	2035.3	siroheme synthase	"GO:0009416	GO:0009416"	"response to light stimulus	response to light stimulus"	
NCU09022	supercont10.7	3894152	3896229	-	2034.89285714286	hypothetical protein			
NCU09489	supercont10.2	4442411	4443292	+	2023.86666666667	phosphoglycerate mutase			
NCU05042	supercont10.6	3954731	3956842	+	2023.42857142857	bilirubin oxidase			
NCU09028	supercont10.7	3876277	3878272	+	2014.03703703704	class I alpha-mannosidase			
NCU01537	supercont10.2	3154664	3155302	-	2013.21428571429	hypothetical protein			
NCU11603	supercont10.5	355563	356534	-	2002.41176470588	hypothetical protein			
NCU12090	supercont10.7	4052841	4053905	+	1997.77777777778	hypothetical protein			
NCU11409	supercont10.7	4224278	4227460	+	1995.41025641026	ATP-dependent RNA helicase chl-1			
NCU08788	supercont10.3	5121053	5122912	+	1987.26923076923	hypothetical protein			
NCU07501	supercont10.1	393677	395053	-	1986.19047619048	hypothetical protein			
NCU00157	supercont10.3	2835527	2837839	+	1968.6	COP9 signalosome-1			
NCU10945	supercont10.7	3988613	3990538	+	1959.53846153846	MFS transporter			
NCU08762	supercont10.3	5237088	5238885	-	1957.12	c-14 sterol reductase ERG-3	"GO:0006696	GO:0006696"	"ergosterol biosynthetic process	ergosterol biosynthetic process"	
NCU06313	supercont10.4	2950242	2951026	-	1940.8	hypothetical protein			
NCU08117	supercont10.1	332263	334580	-	1935.3	hypothetical protein			
NCU05119	supercont10.6	3691322	3691800	-	1932.5	hypothetical protein			
NCU05706	supercont10.3	581817	582798	-	1915.5625	glutathione S-transferase			
NCU05147	supercont10.6	3578037	3579231	+	1909.78947368421	hypothetical protein			
NCU09153	supercont10.3	174496	176208	-	1902.64	hypothetical protein			
NCU11414	supercont10.4	82226	84079	-	1902.48	plasma membrane zinc ion transporter	"GO:0006829	GO:0015691	GO:0015691	GO:0006829	GO:0015691	GO:0006829"	"zinc ion transport	cadmium ion transport	cadmium ion transport	zinc ion transport	cadmium ion transport	zinc ion transport"	
NCU09851	supercont10.5	5957371	5958636	+	1902.3	hypothetical protein			
NCU11367	supercont10.3	4506442	4508169	-	1900.41666666667	inositol phospholipid biosynthesis protein Scs3			
NCU06154	supercont10.7	2640560	2641163	-	1899.69230769231	hypothetical protein			
NCU11715	supercont10.4	772271	773545	-	1897.2	hypothetical protein			
NCU08783	supercont10.3	5135614	5136906	-	1895.85	epoxide hydrolase			
NCU11417	supercont10.2	4307112	4308131	-	1894.23529411765	nucleoside-diphosphate-sugar epimerase			
NCU11359	supercont10.4	232450	233299	+	1890.6	hypothetical protein			
NCU00965	supercont10.1	6555304	6556483	+	1887.94444444444	hypothetical protein			
NCU03412	supercont10.2	815698	817428	+	1885.92	hypothetical protein			
NCU07162	supercont10.5	6381058	6383763	-	1881.29411764706	hypothetical protein			
