GENE	LEN
NCU11698	207
NCU08239	125
NCU07227	199
NCU08219	193
NCU05099	281
NCU09635	518
NCU05107	170
NCU11896	145
NCU10285	328
NCU07226	860
NCU07219	99
NCU12177	148
NCU09179	389
NCU07629	302
NCU05104	450
NCU08236	661
NCU09525	206
NCU07147	115
NCU09180	203
NCU08796	511
NCU08257	233
NCU11831	571
NCU07640	306
NCU08105	270
NCU07249	541
NCU08238	500
NCU07217	223
NCU08259	344
NCU09169	324
NCU10427	94
NCU09306	304
NCU05108	364
NCU09187	795
NCU08210	249
NCU09177	259
NCU07644	963
NCU05110	430
NCU07149	550
NCU08912	173
NCU12074	213
NCU12105	459
NCU09634	700
NCU08237	151
NCU08252	466
NCU08253	376
NCU08258	168
NCU07148	299
NCU11703	116
NCU11826	416
NCU09186	582
NCU08107	423
NCU09966	442
NCU07627	361
NCU08260	374
NCU10031	314
NCU05091	614
NCU07602	80
NCU07626	223
NCU08255	229
NCU07632	594
NCU07630	312
NCU08752	626
NCU07242	271
NCU09665	332
NCU06899	275
NCU07218	527
NCU10037	385
NCU07084	362
NCU08575	167
NCU08263	356
NCU07143	390
NCU09631	490
NCU10129	158
NCU08533	162
NCU04893	101
NCU08753	857
NCU09164	104
NCU08249	144
NCU04689	231
NCU09725	133
NCU07634	658
NCU12073	196
NCU09173	494
NCU05903	275
NCU07631	244
NCU08102	455
NCU12104	340
NCU09495	320
NCU11291	176
NCU05100	248
NCU08254	266
NCU09965	451
NCU09170	488
NCU05097	351
NCU09637	430
NCU09585	343
NCU09577	252
NCU05098	465
NCU07092	624
NCU09524	295
NCU05111	101
NCU05675	170
NCU07115	622
NCU05659	191
NCU08247	89
NCU06897	356
NCU07145	134
NCU07623	535
NCU05093	657
NCU07645	412
NCU05080	72
NCU04916	398
NCU08211	397
NCU07224	475
NCU07216	213
NCU08755	875
NCU09590	171
NCU04894	413
NCU08262	285
NCU12176	257
NCU08261	349
NCU11714	154
NCU07146	1077
NCU09181	237
NCU05073	175
NCU05096	429
NCU04991	793
NCU04705	94
NCU07601	395
NCU08248	208
NCU07234	518
NCU05911	155
NCU05114	423
NCU08246	151
NCU04707	208
NCU04992	195
NCU04877	464
NCU07643	456
NCU05657	263
NCU07603	460
NCU11706	103
NCU10629	132
NCU09636	586
NCU07642	125
NCU05092	91
NCU09185	529
NCU08085	331
NCU05158	337
NCU12114	107
NCU08209	191
NCU08532	807
NCU09952	130
NCU11938	123
NCU11342	460
NCU11895	280
NCU08531	522
NCU11713	102
NCU08222	607
NCU08245	464
NCU07244	178
NCU07628	273
NCU07624	436
NCU09188	906
NCU08233	220
NCU09168	616
NCU11707	151
NCU08534	514
NCU12097	271
NCU08235	644
NCU10119	535
NCU08756	443
NCU05101	326
NCU05155	287
NCU11908	161
NCU07638	805
NCU07235	608
NCU11907	88
NCU09167	1172
NCU07229	182
NCU07641	438
NCU09724	217
NCU11341	592
NCU07637	872
NCU11686	335
NCU09165	487
NCU05086	1216
NCU05912	344
NCU09640	541
NCU04874	375
NCU07150	567
NCU05906	326
NCU04879	97
NCU05083	281
NCU08240	155
NCU09158	103
NCU07228	182
NCU09947	287
NCU09837	329
NCU08220	218
NCU04915	283
NCU05178	493
NCU07230	495
NCU07213	119
NCU08241	503
NCU09189	651
NCU05179	697
NCU07243	241
NCU10039	535
NCU04706	265
NCU07109	78
NCU07625	677
NCU09176	353
NCU08221	249
NCU10027	918
NCU09961	69
NCU09172	685
NCU05089	489
NCU07245	218
NCU05896	354
NCU08103	450
NCU11894	162
NCU07593	441
NCU05463	207
NCU07647	148
NCU11430	169
NCU10005	205
NCU04891	483
NCU07633	322
NCU07592	589
NCU08106	468
NCU08084	351
NCU08213	177
NCU05085	298
NCU12078	194
NCU07085	102
NCU08078	216
NCU04869	95
NCU09171	711
NCU11610	162
NCU05173	687
NCU05106	427
NCU08243	563
NCU08087	275
NCU04867	124
NCU08256	119
NCU10030	822
NCU08242	352
NCU07212	223
NCU07215	160
NCU07595	313
NCU05055	404
NCU07214	532
NCU07090	259
NCU07209	328
NCU11832	144
NCU05676	152
NCU12113	210
NCU09632	187
NCU07636	368
NCU08223	381
NCU05071	351
NCU10210	309
NCU04889	484
NCU09907	560
NCU08757	503
NCU07104	215
NCU09166	344
NCU05910	177
NCU04883	419
NCU09726	485
NCU07211	391
NCU09190	284
NCU08077	354
NCU08572	317
NCU09519	297
NCU05081	415
NCU09953	155
NCU08250	336
NCU09857	579
NCU09604	156
NCU05156	487
NCU06887	269
NCU05658	645
NCU04708	329
NCU04896	629
NCU09948	194
NCU08212	223
NCU09664	227
NCU08075	781
NCU12115	233
NCU11687	486
NCU07511	477
NCU04890	563
NCU07144	641
NCU09957	986
NCU12102	339
NCU11710	340
NCU04918	662
NCU08251	278
NCU07086	362
NCU12086	352
NCU07151	188
NCU05112	208
NCU08083	153
NCU09586	270
NCU12072	107
NCU07635	183
NCU07600	149
NCU09906	880
NCU11608	78
NCU04919	622
NCU09951	187
NCU05666	110
NCU12178	111
NCU11892	260
NCU08208	190
NCU08916	205
NCU04709	142
NCU05175	684
NCU09526	621
NCU05079	629
NCU09183	485
NCU09591	140
NCU08264	527
NCU07103	257
NCU09490	531
NCU09276	352
NCU07210	340
NCU11607	110
NCU05909	503
NCU09588	172
NCU05907	129
NCU04900	113
NCU08797	365
NCU07596	398
NCU08265	280
NCU09660	180
NCU09630	76
NCU09638	2628
NCU04917	369
NCU05897	471
NCU06902	272
NCU09589	168
NCU07095	188
NCU07152	194
NCU09623	222
NCU10070	476
NCU05656	211
NCU06955	144
NCU04875	124
NCU11087	87
NCU05661	203
NCU08244	374
NCU08576	146
NCU12103	342
NCU11363	496
NCU07106	259
NCU05660	218
NCU07648	938
NCU08086	138
NCU04853	179
NCU05655	605
NCU07594	223
NCU04870	312
NCU12080	177
NCU07050	828
NCU04702	315
NCU08101	622
NCU04911	784
NCU04704	130
NCU07581	296
NCU09178	342
NCU09949	215
NCU10038	436
NCU08539	443
NCU04897	401
NCU08537	1135
NCU11422	448
NCU09639	590
NCU05673	312
NCU05674	775
NCU11834	208
NCU11286	651
NCU08096	697
NCU06898	99
NCU04926	176
NCU11609	140
NCU07133	401
NCU04997	431
NCU05177	116
NCU05105	786
NCU07651	133
NCU07105	246
NCU07091	201
NCU09908	280
NCU11688	146
NCU07049	257
NCU04888	372
NCU07599	285
NCU10344	604
NCU06886	241
NCU10501	348
NCU08546	267
NCU09950	141
NCU12079	229
NCU08523	325
NCU07225	293
NCU07087	215
NCU08768	364
NCU11424	613
NCU08573	131
NCU06889	532
NCU11898	131
NCU08785	290
NCU08574	207
NCU08080	104
NCU12083	168
NCU08081	100
NCU08524	543
NCU04703	305
NCU08234	372
NCU05082	66
NCU08915	108
NCU11897	229
NCU06904	174
NCU09650	74
NCU08918	130
NCU05678	179
NCU07053	496
NCU08100	153
NCU08769	93
NCU09956	177
NCU07089	325
NCU04882	168
NCU05159	300
NCU08917	162
NCU08569	454
NCU09491	292
NCU05887	461
NCU03474	436
NCU09838	430
NCU06953	167
NCU11134	157
NCU07094	494
NCU08521	553
NCU08189	384
NCU05017	224
NCU04860	446
NCU08638	302
NCU07051	175
NCU05172	1079
NCU04695	285
NCU08790	469
NCU11893	180
NCU09275	259
NCU05059	557
NCU09584	207
NCU04700	97
NCU08207	206
NCU07139	805
NCU09587	210
NCU04871	2027
NCU09645	226
NCU11905	314
NCU02856	378
NCU08113	183
NCU09453	132
NCU04697	351
NCU10040	157
NCU11433	182
NCU07610	376
NCU08538	407
NCU10004	544
NCU08765	282
NCU05069	540
NCU11833	398
NCU04694	756
NCU04937	114
NCU09855	339
NCU09661	210
NCU05866	717
NCU04892	154
NCU09150	160
NCU05056	577
NCU10644	68
NCU08639	191
NCU09274	564
NCU09031	1134
NCU06954	172
NCU04852	1310
NCU05919	350
NCU11364	400
NCU08204	587
NCU10766	195
NCU10641	151
NCU04861	791
NCU07111	399
NCU09839	230
NCU08114	525
NCU07231	593
NCU05084	147
NCU03476	243
NCU11689	202
NCU08541	136
NCU08188	454
NCU05070	181
NCU08522	355
NCU08109	458
NCU09836	392
NCU09955	554
NCU06896	313
NCU06901	232
NCU03475	198
NCU07083	560
NCU10936	214
NCU04690	177
NCU07208	231
NCU05466	642
NCU09278	314
NCU10502	175
NCU04884	418
NCU05171	206
NCU08076	561
NCU03582	215
NCU04701	320
NCU05467	286
NCU04881	1201
NCU08558	831
NCU05018	258
NCU09834	319
NCU05170	133
NCU04996	227
NCU08542	552
NCU09148	544
NCU09339	143
NCU07076	912
NCU07110	534
NCU09954	885
NCU09277	132
NCU05074	410
NCU08780	186
NCU09149	82
NCU09494	593
NCU05677	257
NCU09964	216
NCU05908	353
NCU05886	483
NCU10538	450
NCU05057	438
NCU05113	595
NCU10783	194
NCU09293	126
NCU05920	322
NCU08549	285
NCU09026	608
NCU06885	164
NCU08813	576
NCU12088	123
NCU12116	128
NCU09958	573
NCU05102	374
NCU09621	454
NCU09279	601
NCU08641	718
NCU11901	177
NCU08225	413
NCU05078	281
NCU04914	333
NCU12071	107
NCU08079	138
NCU11915	330
NCU09182	163
NCU09593	364
NCU09455	287
NCU07140	461
NCU07116	2055
NCU09641	662
NCU07653	95
NCU08206	333
NCU11700	358
NCU08200	105
NCU09613	467
NCU11825	120
NCU06165	425
NCU07652	553
NCU07142	90
NCU09856	1033
NCU06903	364
NCU11705	653
NCU07102	219
NCU06905	268
NCU04901	240
NCU05699	496
NCU05094	310
NCU12111	486
NCU05058	121
NCU09605	300
NCU11697	160
NCU05918	659
NCU05176	367
NCU08530	101
NCU04887	532
NCU07138	278
NCU11712	202
NCU08834	369
NCU09939	251
NCU07207	379
NCU07597	413
NCU11292	146
NCU05160	486
NCU08089	70
NCU04862	303
NCU07077	700
NCU05165	267
NCU09431	319
NCU09603	507
NCU04876	99
NCU05888	485
NCU08570	334
NCU09612	259
NCU07108	314
NCU11365	473
NCU06888	238
NCU05900	354
NCU05921	327
NCU11830	112
NCU04691	532
NCU05157	491
NCU09578	203
NCU09663	297
NCU11699	148
NCU11909	681
NCU02867	206
NCU06160	231
NCU09452	268
NCU07101	186
NCU04920	766
NCU07088	108
NCU08770	93
NCU11709	158
NCU07082	915
NCU07221	925
NCU09988	427
NCU05769	235
NCU10539	370
NCU12085	259
NCU05470	287
NCU08789	203
NCU05899	525
NCU12052	250
NCU07618	1800
NCU09046	186
NCU11423	343
NCU09520	1706
NCU11891	401
NCU07136	177
NCU04851	1088
NCU04713	728
NCU05095	517
NCU08199	468
NCU11708	277
NCU08099	182
NCU09901	331
NCU04699	214
NCU05662	83
NCU08543	706
NCU05679	360
NCU09904	467
NCU11824	143
NCU04922	69
NCU07510	215
NCU12054	260
NCU08800	149
NCU10697	533
NCU09652	543
NCU11129	596
NCU09582	254
NCU08547	461
NCU10572	177
NCU05068	338
NCU07621	418
NCU07054	565
NCU08835	569
NCU12055	505
NCU04921	383
NCU08544	336
NCU08907	162
NCU12100	146
NCU10055	304
NCU08764	342
NCU07232	232
NCU05186	313
NCU05922	514
NCU07124	407
NCU08548	292
NCU03581	128
NCU09909	704
NCU09903	1110
NCU11818	549
NCU05048	719
NCU08630	302
NCU09913	480
NCU08885	351
NCU08097	836
NCU12053	223
NCU08642	976
NCU07141	397
NCU11939	161
NCU10836	940
NCU12018	405
NCU08812	635
NCU07130	445
NCU08545	534
NCU09027	484
NCU08640	370
NCU04698	622
NCU04880	140
NCU10537	185
NCU07222	267
NCU11943	122
NCU02865	381
NCU02866	230
NCU05669	325
NCU04908	349
NCU05123	690
NCU05479	549
NCU07078	326
NCU05049	312
NCU04912	607
NCU06161	253
NCU05472	282
NCU09456	501
NCU12091	100
NCU05923	828
NCU08432	225
NCU09990	705
NCU05914	311
NCU05131	410
NCU05169	516
NCU09651	631
NCU09914	218
NCU12175	561
NCU07233	347
NCU09835	122
NCU08187	208
NCU05469	273
NCU05164	239
NCU08832	578
NCU02864	266
NCU11420	521
NCU09285	346
NCU08074	250
NCU08781	168
NCU02857	642
NCU12187	409
NCU08571	134
NCU12093	446
NCU05185	1108
NCU09280	449
NCU08637	574
NCU12174	283
NCU08557	101
NCU04859	1327
NCU03472	207
NCU11900	685
NCU08833	274
NCU07649	399
NCU09959	290
NCU04913	149
NCU05915	367
NCU11421	459
NCU08098	122
NCU08224	133
NCU12188	233
