MRNA_Nc	K27_Nc	MRNA_Nd	K27_Nd	MRNA_Nt	K27_Nt
Nc|NCU00003	no	Nd|NEUDI1_139134,NEUDI1_110854	no,no	Nt|NEUTE1_100595	no
Nc|NCU00004	no	Nd|NEUDI1_139133	no	Nt|NEUTE1_122076	no
Nc|NCU00005	no	Nd|NEUDI1_126177	no	Nt|NEUTE1_81495	no
Nc|NCU00006	no	Nd|NEUDI1_97396	no	Nt|NEUTE1_129580	no
Nc|NCU00007	no	Nd|NEUDI1_97393	no	Nt|NEUTE1_62819	no
Nc|NCU00008	no	Nd|NEUDI1_79035	no	Nt|NEUTE1_81502	no
Nc|NCU00009	no	NONE	NA	Nt|NEUTE1_100602	no
Nc|NCU00010	no	Nd|NEUDI1_79031	no	Nt|NEUTE1_116916,NEUTE1_81506	no,no
Nc|NCU00011	no	Nd|NEUDI1_126172	no	Nt|NEUTE1_43084	no
Nc|NCU00013	no	Nd|NEUDI1_126171	no	Nt|NEUTE1_146247	no
Nc|NCU00014	no	Nd|NEUDI1_126170	no	Nt|NEUTE1_62828	no
Nc|NCU00015	no	Nd|NEUDI1_79025,NEUDI1_126170	no,no	Nt|NEUTE1_62828,NEUTE1_81510	no,no
Nc|NCU00017	no	Nd|NEUDI1_155610	no	Nt|NEUTE1_129586	no
Nc|NCU00018	no	Nd|NEUDI1_155609	no	Nt|NEUTE1_62836	no
Nc|NCU00019	no	Nd|NEUDI1_155608	no	Nt|NEUTE1_129588	no
Nc|NCU00021	no	Nd|NEUDI1_126166	no	Nt|NEUTE1_100610,NEUTE1_122088	no,no
Nc|NCU00022	no	Nd|NEUDI1_155606	no	Nt|NEUTE1_122089	no
Nc|NCU00023	no	Nd|NEUDI1_167056	no	Nt|NEUTE1_62846	no
Nc|NCU00024	no	Nd|NEUDI1_97365	no	Nt|NEUTE1_62849	no
Nc|NCU00025	no	Nd|NEUDI1_167053	no	Nt|NEUTE1_129594	no
Nc|NCU00026	no	Nd|NEUDI1_59295	no	Nt|NEUTE1_81533	no
Nc|NCU00027	no	Nd|NEUDI1_167052	no	Nt|NEUTE1_129596,NEUTE1_116920	no,no
Nc|NCU00028	no	Nd|NEUDI1_167052	no	Nt|NEUTE1_116920	no
Nc|NCU00029	no	Nd|NEUDI1_78992	no	Nt|NEUTE1_122096	no
Nc|NCU00030	no	Nd|NEUDI1_167051	no	Nt|NEUTE1_62865	no
Nc|NCU00031	no	Nd|NEUDI1_24345	no	Nt|NEUTE1_109922	no
Nc|NCU00032	no	Nd|NEUDI1_155595	no	Nt|NEUTE1_81547	no
Nc|NCU00033	no	Nd|NEUDI1_155595	no	Nt|NEUTE1_81548	no
Nc|NCU00034	no	Nd|NEUDI1_78981	no	Nt|NEUTE1_129602	no
Nc|NCU00035	no	Nd|NEUDI1_78981	no	Nt|NEUTE1_129602	no
Nc|NCU00037	no	Nd|NEUDI1_155592	no	Nt|NEUTE1_62880	no
Nc|NCU00038	no	Nd|NEUDI1_97332	no	Nt|NEUTE1_81560	no
Nc|NCU00039	no	Nd|NEUDI1_155590	no	Nt|NEUTE1_109929	no
Nc|NCU00040	no	Nd|NEUDI1_78967	no	Nt|NEUTE1_62889	no
Nc|NCU00041	no	Nd|NEUDI1_161819	no	Nt|NEUTE1_94828	no
Nc|NCU00042	no	Nd|NEUDI1_139102	no	Nt|NEUTE1_62896	no
Nc|NCU00043	no	Nd|NEUDI1_167043	no	Nt|NEUTE1_116927	no
Nc|NCU00045	no	Nd|NEUDI1_155585	no	Nt|NEUTE1_81580	no
