GENE	LEN
NCU03854	204
NCU01044	894
NCU08804	585
NCU11999	70
NCU11998	167
NCU11571	235
NCU06308	1423
NCU01878	1120
NCU01744	2116
NCU04961	62
NCU09320	337
NCU02197	150
NCU10396	106
NCU08491	75
NCU08192	97
NCU05014	392
NCU07099	349
NCU04941	418
NCU05116	184
NCU08846	153
NCU01631	209
NCU09717	339
NCU06853	734
NCU08005	528
NCU03040	449
NCU04903	719
NCU07164	169
NCU12087	153
NCU05189	441
NCU11396	438
NCU02194	847
NCU07323	94
NCU05015	325
NCU07237	137
NCU05764	332
NCU07787	138
NCU03469	167
NCU08818	91
NCU09534	229
NCU05712	257
NCU07817	249
NCU02195	618
NCU04940	347
NCU09155	535
NCU09080	98
NCU09416	392
NCU11383	683
NCU08774	218
NCU08004	348
NCU09406	823
NCU11720	105
NCU08555	530
NCU11486	112
NCU04959	322
NCU09053	321
NCU04939	370
NCU09653	225
NCU04962	143
NCU05013	909
NCU05067	466
NCU07122	94
NCU11290	71
NCU12066	490
NCU07585	278
NCU09022	546
NCU09489	275
NCU05042	620
NCU09028	602
NCU01537	188
NCU11603	164
NCU12090	262
NCU11409	1041
NCU08788	619
NCU07501	414
NCU00157	454
NCU10945	601
NCU08762	490
NCU06313	171
NCU08117	675
NCU05119	116
NCU05706	264
NCU05147	243
NCU09153	570
NCU11414	597
NCU09851	252
NCU11367	407
NCU06154	162
NCU11715	306
NCU08783	430
NCU11417	339
NCU11359	107
NCU00965	245
NCU03412	527
NCU07162	901
NCU04163	326
NCU09272	1063
NCU07613	146
NCU11835	106
NCU07168	827
NCU03574	62
NCU05122	121
NCU05602	607
NCU12051	173
NCU11362	541
NCU08060	493
NCU00716	154
NCU08636	104
NCU08816	307
NCU05134	120
NCU11994	155
NCU01800	477
NCU07586	301
NCU07847	82
NCU05863	190
NCU08720	180
NCU08112	536
NCU05698	304
NCU11229	437
NCU09029	271
NCU09986	195
NCU06304	562
NCU07533	591
NCU08968	398
NCU03520	104
NCU04948	497
NCU08634	540
NCU03309	78
NCU05036	343
NCU04950	117
NCU11151	95
NCU08093	63
NCU07486	265
NCU10597	914
NCU12065	183
NCU04330	105
NCU09023	700
NCU09052	357
NCU09125	383
NCU12142	121
NCU08881	166
NCU02698	100
NCU04734	477
NCU08527	554
NCU05192	455
NCU00657	431
NCU05149	417
NCU11053	229
NCU11828	374
NCU03895	132
NCU09331	162
NCU09854	734
NCU08495	309
NCU03081	236
NCU08830	392
NCU11701	434
NCU08059	97
NCU09779	358
NCU00764	182
NCU04873	132
NCU07409	567
NCU08116	476
NCU09418	367
NCU08805	130
NCU09766	102
NCU02456	723
NCU11633	367
NCU06784	98
NCU09396	110
NCU11521	126
NCU07775	410
NCU11804	111
NCU12171	142
NCU06155	128
NCU01528	338
NCU07520	308
NCU09533	417
NCU10051	465
NCU09351	66
NCU04951	106
NCU07113	637
NCU08094	360
NCU09611	330
NCU09937	420
NCU05893	259
NCU06890	73
NCU02474	50
NCU01196	324
NCU12016	80
NCU11997	481
NCU05713	310
NCU09054	338
NCU07257	480
NCU07609	574
NCU09871	178
NCU12015	300
NCU02196	425
NCU04181	53
NCU07161	148
NCU07341	252
NCU11940	250
NCU09809	105
NCU08111	429
NCU12064	102
NCU09698	502
NCU09486	539
NCU11289	367
NCU09484	557
NCU01142	137
NCU05118	115
NCU00994	487
NCU07751	150
NCU00510	123
NCU01761	108
NCU07748	183
NCU05692	220
NCU03816	406
NCU09312	332
NCU11395	455
NCU11306	569
NCU05005	232
NCU12076	569
NCU03957	256
NCU09760	1307
NCU10069	64
NCU07616	123
NCU03288	546
NCU11380	478
NCU01082	500
NCU08228	665
NCU00379	671
NCU09597	282
NCU12089	1217
NCU06070	161
NCU07031	160
NCU03969	119
NCU11431	123
NCU07408	313
NCU07154	322
NCU11904	173
NCU04069	428
NCU00143	156
NCU05758	566
NCU07782	300
NCU09147	147
NCU04909	379
NCU02303	255
NCU02043	312
NCU04857	411
NCU05004	451
NCU12134	213
NCU02027	245
NCU00013	114
NCU05611	271
NCU04963	527
NCU11220	678
NCU08845	194
NCU10169	300
NCU00126	257
NCU00842	128
NCU08990	51
NCU05075	304
NCU12001	110
NCU05526	425
NCU04947	1315
NCU04511	691
NCU04832	414
NCU07517	542
NCU03077	422
NCU07555	104
NCU06776	632
NCU07155	317
NCU11886	154
NCU11449	151
NCU12120	126
NCU07156	553
NCU05755	223
NCU02282	469
NCU05760	232
NCU01858	409
NCU05000	1052
NCU10245	676
NCU05663	221
NCU03205	188
NCU08071	107
NCU05766	270
NCU00777	278
NCU03553	106
NCU11734	198
NCU05127	346
NCU06060	332
NCU09617	302
NCU03516	129
NCU00030	332
NCU11500	108
NCU00176	177
NCU11445	77
NCU03774	157
NCU08635	90
NCU03611	917
NCU04928	270
NCU05884	510
NCU02523	353
NCU05928	374
NCU11683	213
NCU11555	110
NCU07204	292
NCU04866	649
NCU09345	342
NCU03580	201
NCU07163	174
NCU06661	126
NCU06570	110
NCU08761	370
NCU08447	455
NCU09296	829
NCU04029	462
NCU11844	114
NCU04719	103
NCU02163	176
NCU09395	72
NCU04284	107
NCU05437	198
NCU02094	734
NCU04949	323
NCU09283	240
NCU01674	292
NCU03028	431
NCU02504	274
NCU02595	135
NCU06843	392
NCU09768	173
NCU08959	446
NCU07485	269
NCU05763	46
NCU05846	839
NCU11836	99
NCU07996	1199
NCU02508	213
NCU03382	98
NCU00548	208
NCU07846	332
NCU07318	398
NCU01240	542
NCU09413	296
NCU08839	519
NCU10393	550
NCU04899	336
NCU09109	109
NCU00611	597
NCU12003	230
NCU01435	559
NCU07506	291
NCU01920	219
NCU02363	353
NCU01422	160
NCU11809	128
NCU08191	258
NCU06396	140
NCU05190	213
NCU07126	247
NCU06482	417
NCU07047	326
NCU03605	359
NCU09720	170
NCU02861	258
NCU08012	644
NCU01844	240
NCU07239	137
NCU00384	128
NCU04412	347
NCU11294	753
NCU09657	1499
NCU11779	117
NCU09289	96
NCU01808	108
NCU11432	122
NCU01672	798
NCU11719	110
NCU10809	701
NCU11829	544
NCU11652	122
NCU09100	367
NCU06042	571
NCU03390	288
NCU07959	484
NCU00229	148
NCU04960	310
NCU09602	646
NCU00852	328
NCU01007	256
NCU11726	110
NCU00867	303
NCU04052	135
NCU12096	1553
NCU02465	77
NCU12167	706
NCU00706	106
NCU04082	117
NCU02543	419
NCU12082	503
NCU06948	150
NCU00570	112
NCU11265	199
NCU01580	439
NCU09175	410
NCU08617	83
NCU08216	528
NCU07190	383
NCU09767	477
NCU11439	672
NCU06146	754
NCU01475	328
NCU02916	359
NCU11991	407
NCU03463	856
NCU05150	108
NCU08526	682
NCU07912	109
NCU07802	615
NCU11307	307
NCU02270	800
NCU06071	362
NCU08624	428
NCU11910	79
NCU05992	393
NCU02661	171
NCU03484	612
NCU09498	405
NCU01331	128
NCU05556	101
NCU01814	299
NCU07781	170
NCU08904	440
NCU03145	522
NCU00838	340
NCU08819	150
NCU02681	221
NCU00347	505
NCU07818	376
NCU07694	295
NCU11501	149
NCU00961	135
NCU07494	317
NCU00325	435
NCU09487	400
NCU03824	332
NCU12181	107
NCU11369	319
NCU09077	267
NCU07196	197
NCU02788	479
NCU01377	654
NCU07853	295
NCU07159	396
NCU08110	771
NCU01834	215
NCU07770	130
NCU05481	117
NCU08193	229
NCU09060	97
NCU09082	92
NCU05999	543
NCU08979	213
NCU11932	83
NCU11217	151
NCU08186	209
NCU03651	659
NCU07181	366
NCU05035	359
NCU12172	100
NCU02517	105
NCU00765	546
NCU03411	368
NCU09281	890
NCU12075	876
NCU06521	703
NCU06916	272
NCU11918	303
NCU00557	133
NCU09036	257
NCU03691	141
NCU03573	1509
NCU08328	393
NCU00117	777
NCU06133	327
NCU03235	916
NCU05681	342
NCU05051	821
NCU11917	160
NCU07695	420
NCU06657	199
NCU09477	313
NCU07183	284
NCU08050	564
NCU04651	310
NCU11948	109
NCU06094	192
NCU08618	183
NCU10730	69
NCU08554	182
NCU11435	686
NCU00491	151
NCU03177	282
NCU05045	519
NCU06615	203
NCU12183	176
NCU11926	640
NCU09107	118
NCU07344	88
NCU07180	423
NCU01408	497
NCU04119	362
NCU09215	192
NCU06384	532
NCU09013	148
NCU06478	363
NCU04741	324
NCU06234	113
NCU03378	451
NCU04017	266
NCU09434	989
NCU02984	187
NCU03810	265
NCU03755	477
NCU04904	370
NCU01336	571
NCU01529	126
NCU08771	608
NCU04226	106
NCU05615	411
NCU11906	272
NCU01860	543
NCU00462	168
NCU11982	419
NCU07167	343
NCU05514	338
NCU08719	586
NCU07407	1249
NCU02947	252
NCU09502	856
NCU11280	119
NCU08849	266
NCU00728	481
NCU04026	84
NCU12017	144
NCU07439	77
NCU11653	102
NCU09761	154
NCU05162	622
NCU06286	427
NCU07079	543
NCU05146	645
NCU05378	638
NCU00296	510
NCU02807	95
NCU12106	715
NCU11717	141
NCU00771	565
NCU04722	993
NCU09271	279
NCU09478	213
NCU11088	143
NCU09821	300
NCU05191	306
NCU05062	571
NCU04925	134
NCU00089	566
NCU07273	159
NCU11579	257
NCU09299	121
NCU09223	505
NCU10152	229
NCU02207	530
NCU11941	165
NCU01390	324
NCU00883	223
NCU05117	628
NCU05949	106
NCU11862	204
NCU06212	262
NCU06730	139
NCU05976	101
NCU11790	110
NCU02364	114
NCU08837	473
NCU09596	336
NCU10092	78
NCU12077	394
NCU11247	105
NCU10276	543
NCU01039	909
NCU01393	375
NCU07615	197
NCU04516	160
NCU12004	127
NCU08986	115
NCU07277	734
NCU07655	622
NCU01754	353
NCU00995	139
NCU06872	116
NCU12043	126
NCU05707	193
NCU01218	391
NCU03761	404
NCU02610	103
NCU01918	209
NCU09156	598
NCU11436	115
NCU02092	595
NCU11821	194
NCU10133	301
NCU05290	233
NCU11814	754
NCU04084	629
NCU02034	572
NCU05762	408
NCU09045	820
NCU08438	93
NCU11695	88
NCU02869	534
NCU03162	214
NCU08347	457
NCU07712	934
NCU09687	167
NCU02151	677
NCU07711	597
NCU04028	355
NCU03163	124
NCU07675	673
NCU05955	861
NCU05796	193
NCU00343	110
NCU08743	191
NCU11592	245
NCU11996	123
NCU07617	730
NCU07799	102
NCU09581	504
NCU09038	644
NCU07583	448
NCU01756	439
NCU07654	423
NCU07435	454
NCU00990	494
NCU11808	556
NCU01153	122
NCU00031	75
NCU05594	433
NCU08963	109
NCU03056	325
NCU03762	607
NCU00614	972
NCU09466	553
NCU00640	99
NCU05716	300
NCU03718	282
NCU05768	238
NCU09512	97
NCU05781	244
NCU08057	299
NCU07523	782
NCU09358	520
NCU08619	180
NCU08888	608
NCU03637	462
NCU05834	317
NCU01970	169
NCU04235	98
NCU01320	148
NCU02372	277
NCU08883	355
NCU00204	214
NCU03924	847
NCU05498	180
NCU02379	637
NCU11382	402
NCU02358	542
NCU09073	367
NCU03882	161
NCU02842	670
NCU07321	272
NCU08989	183
NCU05368	184
NCU05832	400
NCU01739	206
NCU10762	470
NCU11716	205
NCU00105	183
NCU11601	235
NCU04077	1030
NCU08361	252
NCU01899	428
NCU06082	235
NCU09711	822
NCU06704	68
NCU05767	660
NCU07497	178
NCU03766	84
NCU03616	229
NCU12151	509
NCU04241	595
NCU05240	219
NCU00879	352
NCU06199	1218
NCU11158	336
NCU02242	400
NCU02289	147
NCU04983	320
NCU08773	334
NCU03208	206
NCU02311	268
NCU05824	111
NCU07815	389
NCU02375	522
NCU02378	607
NCU02403	314
NCU11485	784
NCU05626	390
NCU09415	473
NCU12107	168
NCU11758	103
NCU10021	553
NCU01246	330
NCU04286	213
NCU11791	752
NCU08269	298
NCU07462	188
NCU07098	686
NCU03684	274
NCU03074	337
NCU11747	184
NCU00864	283
NCU04952	735
NCU02997	312
NCU03193	115
NCU07507	78
NCU08776	1188
NCU04345	274
NCU02663	530
NCU10062	444
NCU07195	378
NCU06594	524
NCU06302	486
NCU09723	137
NCU01463	321
NCU02954	357
NCU09648	488
NCU10570	260
NCU09776	307
NCU03322	403
NCU11935	689
NCU00584	330
NCU03277	429
NCU08855	406
NCU04264	898
NCU05761	313
NCU04532	562
NCU11737	106
NCU06019	255
NCU02652	420
NCU02927	540
NCU06928	853
NCU00641	114
NCU05550	411
NCU06709	439
NCU02660	190
NCU09713	281
NCU08829	418
NCU00899	360
NCU04128	362
NCU02365	130
NCU05295	245
NCU11287	397
NCU07350	391
NCU09201	357
NCU05501	260
NCU07472	576
NCU11740	297
NCU07283	402
NCU03559	454
NCU11197	193
NCU09616	279
NCU11582	115
NCU12117	105
NCU09284	444
NCU11348	87
NCU07329	355
NCU05980	648
NCU00447	663
NCU11472	139
NCU09771	534
NCU06455	168
NCU06470	373
NCU06555	186
NCU05138	389
NCU06893	725
NCU07619	667
NCU04368	419
NCU03366	587
NCU09826	267
